2023-11-09 06:22:00 - Device: Living room Light, Status: True, Brightness: 87%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 71C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 20%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 24C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 20%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 24C
2023-11-09 06:25:38 - Device: Living room Light, Status: True, Brightness: 72%
2023-11-09 06:25:38 - Device: Living room Thermostat, Status: True, Temperature: 26C
2023-11-09 06:25:39 - Device: Living room Light, Status: True, Brightness: 72%
2023-11-09 06:25:39 - Device: Living room Thermostat, Status: True, Temperature: 26C
2023-11-09 06:25:39 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:39 - Device: Living room Thermostat, Status: True, Temperature: 28C
2023-11-09 06:25:39 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:39 - Device: Living room Thermostat, Status: True, Temperature: 28C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 46%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 64C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 46%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 73C
2023-11-09 06:25:40 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:40 - Device: Living room Thermostat, Status: True, Temperature: 73C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 8%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 8%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 1%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 25C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 1%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 25C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 45%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:41 - Device: Living room Light, Status: True, Brightness: 45%
2023-11-09 06:25:41 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 39%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 39%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 33%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 84C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 33%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 52C
2023-11-09 06:25:42 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:42 - Device: Living room Thermostat, Status: True, Temperature: 52C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 83%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 91C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 83%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 91C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 31%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 89C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 31%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 89C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 4%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 19C
2023-11-09 06:25:43 - Device: Living room Light, Status: True, Brightness: 4%
2023-11-09 06:25:43 - Device: Living room Thermostat, Status: True, Temperature: 19C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 10%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 10%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 10C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 16C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 16C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 67%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 79C
2023-11-09 06:25:44 - Device: Living room Light, Status: True, Brightness: 67%
2023-11-09 06:25:44 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 70C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 70C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 28%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 29C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 28%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 29C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 58%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 21C
2023-11-09 06:25:45 - Device: Living room Light, Status: True, Brightness: 58%
2023-11-09 06:25:45 - Device: Living room Thermostat, Status: True, Temperature: 21C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 49C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 49C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 95C
2023-11-09 06:25:46 - Device: Living room Light, Status: True, Brightness: 80%
2023-11-09 06:25:46 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:47 - Device: Living room Light, Status: True, Brightness: 23%
2023-11-09 06:25:47 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:47 - Device: Living room Light, Status: True, Brightness: 23%
2023-11-09 06:25:47 - Device: Living room Thermostat, Status: True, Temperature: 34C
2023-11-09 06:25:47 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:25:47 - Device: Living room Thermostat, Status: True, Temperature: 60C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 17C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 9%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 17C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 3%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 3%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:48 - Device: Living room Light, Status: True, Brightness: 55%
2023-11-09 06:25:48 - Device: Living room Thermostat, Status: True, Temperature: 65C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 55%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 65C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 54%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 45C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 54%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 45C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 13C
2023-11-09 06:25:49 - Device: Living room Light, Status: True, Brightness: 61%
2023-11-09 06:25:49 - Device: Living room Thermostat, Status: True, Temperature: 13C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 14C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 41%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 14C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 46C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 81%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 46C
2023-11-09 06:25:50 - Device: Living room Light, Status: True, Brightness: 69%
2023-11-09 06:25:50 - Device: Living room Thermostat, Status: True, Temperature: 60C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 69%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 47%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 85C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 47%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 85C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 13%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 95C
2023-11-09 06:25:51 - Device: Living room Light, Status: True, Brightness: 13%
2023-11-09 06:25:51 - Device: Living room Thermostat, Status: True, Temperature: 95C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 25%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 27C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 25%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 27C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 57%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 97C
2023-11-09 06:25:52 - Device: Living room Light, Status: True, Brightness: 57%
2023-11-09 06:25:52 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:25:54 - Device: Living room Light, Status: True, Brightness: 65%
2023-11-09 06:25:54 - Device: Living room Thermostat, Status: True, Temperature: 22C
2023-11-09 06:25:56 - Device: Living room Light, Status: True, Brightness: 65%
2023-11-09 06:25:56 - Device: Living room Thermostat, Status: True, Temperature: 22C
2023-11-09 06:25:56 - Device: Living room Light, Status: True, Brightness: 23%
2023-11-09 06:25:56 - Device: Living room Thermostat, Status: True, Temperature: 20C
2023-11-09 06:32:36 - Device: Living room Light, Status: True, Brightness: 79%
2023-11-09 06:32:36 - Device: Living room Thermostat, Status: False, Temperature: 72C
2023-11-09 06:32:36 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:32:36 - Device: Living room Thermostat, Status: False, Temperature: 72C
2023-11-09 06:32:41 - Device: Living room Light, Status: True, Brightness: 67%
2023-11-09 06:32:41 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:41 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:32:41 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:41 - Device: Living room Light, Status: True, Brightness: 32%
2023-11-09 06:32:41 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:42 - Device: Living room Light, Status: False, Brightness: 0%
2023-11-09 06:32:42 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:42 - Device: Living room Light, Status: True, Brightness: 71%
2023-11-09 06:32:42 - Device: Living room Thermostat, Status: True, Temperature: 50C
2023-11-09 06:32:44 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:32:44 - Device: Living room Thermostat, Status: True, Temperature: 94C
2023-11-09 06:32:44 - Device: Living room Light, Status: True, Brightness: 30%
2023-11-09 06:32:44 - Device: Living room Thermostat, Status: True, Temperature: 94C
2024-02-19 18:25:21 - Device: Living room Light, Status: True, Brightness: 87%
2024-02-19 18:26:16 - Device: Living room Light, Status: True, Brightness: 81%
2024-02-19 18:26:41 - Device: Living room Light, Status: True, Brightness: 79%
2024-02-19 18:35:00 - Device: Living room Light, Status: True, Brightness: 69%
2024-02-19 18:42:58 - Device: Living room Light, Status: True, Brightness: 50%
2024-02-19 18:45:28 - Device: Living room Light, Status: False, Brightness: 0%
2024-02-19 18:45:36 - Device: Living room Light, Status: True, Brightness: 72%
2024-02-19 18:45:39 - Device: Living room Light, Status: False, Brightness: 0%
2024-02-19 20:46:57 - Device: Living room Light, Status: True, Brightness: 67%
2024-02-19 21:04:06 - Device: Living room Light, Status: True, Brightness: 20%
2024-02-19 21:05:18 - Device: Living room Light, Status: True, Brightness: 20%
2024-02-19 21:05:23 - Device: Living room Light, Status: False, Brightness: 0%
2024-02-19 21:05:30 - Device: Living room Light, Status: True, Brightness: 36%
2024-02-19 21:05:37 - Device: Living room Light, Status: False, Brightness: 0%
2024-02-19 21:05:40 - Device: Living room Light, Status: True, Brightness: 54%
2024-02-19 21:08:15 - Device: Living room Light, Status: True, Brightness: 49%
2024-02-19 21:11:12 - Device: Living room Light, Status: True, Brightness: 16%
2024-02-19 21:36:01 - Device: Living room Light, Status: True, Brightness: 56%
2024-02-19 21:40:38 - Device: Living room Light, Status: True, Brightness: 26%
2024-02-19 21:44:22 - Device: Living room Light, Status: True, Brightness: 70%
2024-02-19 22:16:39 - Device: Living room Light, Status: True, Brightness: 24%
2024-02-19 22:27:51 - Device: Living room Light, Status: True, Brightness: 34%
2024-02-19 22:30:01 - Device: Living room Light, Status: True, Brightness: 81%
2024-02-19 22:30:09 - Device: Living room Light, Status: False, Brightness: 0%
2024-02-19 22:30:47 - Device: Living room Light, Status: True, Brightness: 14%
2024-02-19 23:14:17 - Device: Living room Light, Status: True, Brightness: 21%
2024-02-20 13:05:56 - Device: Living room Light, Status: True, Brightness: 98%
2024-02-20 13:09:07 - Device: Living room Light, Status: True, Brightness: 42%
2024-02-20 13:09:08 - Device: Living room Light, Status: False, Brightness: 0%
2024-02-20 13:11:39 - Device: Living room Light, Status: True, Brightness: 75%
2024-02-20 13:11:40 - Device: Living room Light, Status: False, Brightness: 0%
2024-02-20 14:45:53 - Device: Living room Light, Status: True, Brightness: 49%
2024-02-21 20:17:55 - Device: Living room Light, Status: True, Brightness: 15%
2024-02-28 13:32:57 - Device: Living room Light, Status: True, Brightness: 71%
